"0";"NAPRAWA";" Przemiany, sztuczka";" 1 minuta";" Dotyk";" W, S, M (dwa magnetyty)";" Natychmiastowy";" Czar naprawia pojedyncze uszkodzenie lub rozdarcie dotkniętego przedmiotu, np.: pęknięte ogniwo łańcucha, złamany na pół klucz, rozdarty płaszcz czy cieknący bukłak. Naprawiasz usterki, nie pozostawiając po nich śladu, o ile żaden z wymiarów uszkodzenia lub rozdarcia nie przekracza 30cm.<br><br>Przy pomocy tego czaru, możesz fizycznie naprawić magiczny przedmiot lub konstrukt, jednak nie przywracasz mu magicznego działania.";"Kleryk"
"0";"ODPORNOŚĆ";" Odpychanie, sztuczka";" 1 akcja";" Dotyk";" W, S, M (miniaturowa peleryna)";" Koncentracja, do 1 minuty";" Dotykasz przychylnej istoty.<br><br>Póki zaklęcie trwa, może ona rzucić jeden raz k4 i dodać otrzymany wynik do wybranego rzutu obronnego. Dodatkową kością można rzucić przed rzutem obronnym lub po nim.<br><br>Zaklęcie kończy się po wykorzystaniu premii.";"Kleryk"
"0";"POWSTRZYMANIE ŚMIERCI";" Wywoływanie, sztuczka";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Dotykasz żywej istoty mającej 0 PW i ją stabilizujesz. Zaklęcie nie działa na konstrukty i nieumarłych.";"Kleryk"
"0";"ŚWIATŁO";" Wywoływanie, sztuczka";" 1 akcja";" Dotyk";" W, M (świetlik lub fosforyzujący mech)";" 1 godzina";" Dotykasz obiektu, którego żaden z wymiarów nie przekracza 3m. Dopóki czar trwa, obiekt świeci światłem w promieniu kolejnych 6m. Czar dobiega końca, gdy rzucisz go ponownie lub zakończysz go w ramach swojej akcji.<br><br>Jeżeli rzucasz ten czar na przedmiot trzymany lub noszony przez wrogą istotę, to musi ona wykonać udany rzut obronny na Zręczność, by uniknąć efektu.";"Kleryk"
"0";"ŚWIĘTY PŁOMIEŃ";" Wywoływanie, sztuczka";" 1 akcja";" 18 metrów";" W, S";" Natychmiastowy";" Na stworzenie, które widzisz w zasięgu czaru, spływa płomienna światłość. Musi ono wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 1k8 obrażeń od światłości. Do tego rzutu obronnego nie liczą się korzyści z przebywania za osłoną.<br><br>Obrażenia z tego zaklęcia zwiększają się o 1k8, gdy osiągniesz 5. poziom (do 2k8), 11. poziom (do 3k8) i 17. poziom (do 4k8).";"Kleryk"
"0";"TAUMATURGIA";" Przemiany, sztuczka";" 1 akcja";" 9 metrów";" W";" Do 1 minuty";" W zasięgu czaru tworzysz jeden z magicznych efektów:<br>*Na 1 minutę twój głos ulega trzykrotnemu wzmocnieniu.<br>*Przez 1 minutę płomienie migoczą/rozjaśniają<br>się/przygasają/zmieniają kolor.<br>*Podłoże niegroźnie drży przez 1 minutę.<br>*Z wybranego miejsca w zasięgu czaru, dobiega krótki dźwięk, np.: grzmot pioruna, krakanie kruka, upiorne szepty.<br>*Zatrzaskują się lub otwierają na oścież nie zamknięte na klucz drzwi lub okno.<br>*Na 1 minutę zmienia się wygląd twoich oczu.<br><br>Jeśli rzucisz sztuczkę wielokrotnie, aktywne mogą być jednocześnie najwyżej 3 jednominutowe efekty. Każdy z nich możesz zakończyć w ramach swojej akcji.";"Kleryk"
"0";"WSKAZÓWKI";" Wieszczenie, sztuczka";" 1 akcja";" Dotyk";" W, S";" Koncentracja, do 1 minuty";" Dotykasz przychylnej istoty.<br>Przed zakończeniem działania czaru, może ona dodać k4 do wyniku jednego wybranego testu cechy. Może wykonać ten rzut przed testem lub po nim. Kiedy to zrobi, zaklęcie dobiega końca.";"Kleryk"
"1";"BŁOGOSŁAWIEŃSTWO";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (pokropienie wodą święconą)";" Koncentracja, do 1 minuty";" Wybierasz i błogosławisz do 3 wybranych stworzeń znajdujących się w zasięgu czaru. Podczas trwania zaklęcia pobłogosławieni mogą dodać 1k4 do wyniku testu ataku lub rzutu obronnego.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. możesz pobłogosławić jedną dodatkową osobę.";"Kleryk"
"1";"KOJĄCE SŁOWO";" Wywoływanie, 1. krąg";" 1 akcja dodatkowa";" 18 metrów";" W";" Natychmiastowy";" Wybrana istota, którą widzisz w zasięgu czaru, odzyskuje punkty wytrzymałości w liczbie 1k4 + twój modyfikator z cechy bazowej. Czar nie działa na nieumarłych i kostuchy.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy twój krąg powyżej 1. liczba leczonych PW zwiększa się o 1k4.";"Kleryk"
"1";"LECZENIE RAN";" Wywoływanie, 1. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Istota, której dotykasz, odzyskuje punkty wytrzymałości w liczbie równej 1k8 + twój modyfikator z cechy bazowej. Czar nie działa na nieumarłych i kostuchy.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. przywracasz dodatkowe 1k8 punktów wytrzymałości.";"Kleryk"
"1";"OCHRONA PRZED DOBREM I ZŁEM";" Odpychanie, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (woda święcona albo sproszkowane srebro i żelazo, zużywane przez zaklęcie)";" Koncentracja, do 10 minut";" Podczas trwania czaru jedna przychylna istota jest chroniona przed określonymi rodzajami stworzeń: czartami, fey, niebianami, nieumarłymi, wynaturzeniami i żywiołakami.<br><br>Ochrona zapewnia kilka korzyści. Istoty wymienionych typów mają utrudnienie w testach ataku przeciwko celowi zaklęcia. Jest on również niepodatny na zauroczenie, przerażenie lub opętanie przez te istoty. Jeśli podczas rzucania czaru był zauroczony, przerażony lub opętany przez jedną z takich istot, to ma ułatwienie w kolejnych rzutach obronnych przeciwko odpowiedniemu efektowi.";"Kleryk"
"1";"OCZYSZCZENIE JADŁA I NAPOJU";" Przemiany, 1. krąg";" 1 akcja";" 3 metry";" W, S";" Natychmiastowy";" Wybierasz punkt w zasięgu czaru. Niemagiczne pożywienie i napoje w obrębie sfery o promieniu 1,5m od niego zostają oczyszczone i uwolnione od trucizn i chorób.";"Kleryk"
"1";"POCISK WIODĄCY";" Wywoływanie, 1. krąg";" 1 akcja";" 36 metrów";" W, S";" 1 runda";" Ku wybranej istocie w zasięgu czaru mknie świetlisty pocisk. Wykonaj atak dystansowy czarem. Trafiony cel otrzymuje 4k6 obrażeń od światłości, a następny atak przeciw niemu wykonany przed końcem twojej następnej tury ma ułatwienie, ponieważ cel jest podświetlony słabym, magicznym poblaskiem.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1., zwiększasz obrażenia o 1k6.";"Kleryk"
"1";"ROZKAZ";" Uroki, 1. krąg";" 1 akcja";" 18 metrów";" W";" 1 runda";" Istota musi ona wykonać udany rzut obronny na Mądrość albo w swojej następnej turze wypełnić twoje polecenie. Zaklęcie nie działa na nieumarłych oraz istoty nierozumiejące twojego języka. Nie odniesie również skutku, jeśli wykonanie go będzie bezpośrednio zagrażało zauroczonej istocie. Poniżej kilka typowych rozkazów. Możesz wydać inne, wówczas MP określa sposób zachowania istoty. Jeżeli cel nie jest w stanie wykonać rozkazu, to zaklęcie się kończy. Podejdź. Przemieszcza się w twoim kierunku najkrótszą i najbardziej bezpośrednią drogą, a gdy znajdzie się 1,5m od ciebie, jego tura się kończy. Puść. Wypuszcza trzymane rzeczy, a jego tura dobiega końca Uciekaj. Cel zaklęcia przeznacza swoją turę na to, by jak najszybciej oddalić się od ciebie. Padnij. Pada powalony na ziemię, a jego tura się kończy. Zatrzymaj się. Cel zaklęcia nie przemieszcza się i nie wykonuje żadnych akcji... <br>Podręcznik gracza str.259 ";"Kleryk"
"1";"SANKTUARIUM";" Odpychanie, 1 krąg";" 1 akcja dodatkowa";" 9 metrów";" W, S, M (małe srebrne lusterko)";" 1 minuta";" Osłaniasz przed atakiem istotę znajdującą się w zasięgu. Do końca trwania czaru każde stworzenie chcące ją zaatakować lub rzucić na nią wyrządzający krzywdę czar, musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia musi wybrać inny cel, albo utracić ten atak lub czar. Sanktuarium nie chroni przed efektami obszarowymi, takimi jak eksplozja kuli ognia.<br><br>Czar kończy się, kiedy ochraniająca istota wykona atak, rzuci zaklęcie obejmujące działaniem przeciwnika lub zada obrażenia innemu stworzeniu.";"Kleryk"
"1";"STWORZENIE LUB ZNISZCZENIE WODY";" Przemiany, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (kropla wody do tworzenia wody lub kilka ziaren piasku do jej zniszczenia)";" Natychmiastowy";" *Stworzenie wody. Tworzysz do 40l czystej wody w otwartym pojemniku w zasięgu czaru. Alternatywnie możesz stworzyć ją jako opad deszczu na obszarze w kształcie sześcianu o boku 9m w zasięgu czaru. Opad ten gasi nieosłonięte płomienie.<br><br>*Zniszczenie wody. Niszczysz do 40l wody w otwartym pojemniku w zasięgu czaru. Możesz zamiast tego usunąć mgłę na obszarze w kształcie sześcianu o boku 9m w zasięgu czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. tworzysz lub niszczysz dodatkowo 40 litrów wody, albo zwiększasz bok sześcianu o 1,5m.";"Kleryk"
"1";"TARCZA WIARY";" Odpychanie, 1. krąg";" 1 akcja dodatkowa";" 18 metrów";" W, S, M (niewielki pergamin z fragmentem świętego tekstu)";" Koncentracja, do 10 minut";" Wybraną przez ciebie istotę w zasięgu czaru, otacza migocząca osłona, która zapewnia jej +2 KP na czas trwania zaklęcia.";"Kleryk"
