"0";"KUGLARSTWO";" Przemiany, sztuczka";" 1 akcja";" 3 metry";" W, S";" Do 1 godziny";" Wywołujesz jeden z magicznych efektów:<br>1. Sensoryczny, np.: deszcz iskier, podmuch wiatru, muzyka lub dziwaczny zapach.<br>2. Natychmiast gasisz/zapalasz świecę, pochodnię lub małe ognisko.<br>3. Natychmiast oczyszczasz/brudzisz obiekt o objętości do 27 litrów.<br>4. Na godzinę schładzasz, podgrzewasz lub nadajesz smak nieożywionej materii o objętości do 27 litrów.<br>5. Sprawiasz, że na obiekcie lub powierzchni, na godzinę pojawia się określony kolor, znak lub symbol.<br>6. Tworzysz niemagiczną błyskotkę/iluzoryczny obraz, mieszczący się w twojej dłoni, będącą widoczną do twojej następnej tury.<br>Jeśli rzucisz to zaklęcie wiele razy, możesz jednocześnie utrzymać do trzech spośród nienatychmiastowych efektów, a w ramach akcji możesz odwołać pojedynczy efekt.";"Zaklinacz"
"0";"KWASOWY ROZPRYSK";" Przywoływanie, sztuczka";" 1 akcja";" 18 metrów";" W, S";" Natychmiastowy";" Ciskasz bąblem kwasu. Wybierz jedną lub dwie istoty, które widzisz, oddalone od siebie najwyżej o 1,5 metra. Cel musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 1k6 obrażeń od kwasu.<br><br>Obrażenia z tego zaklęcia zwiększają się o 1k6, gdy osiągniesz 5. poziom (do 2k6), 11. poziom (do 3k6) i 17. poziom (do 4k6).";"Zaklinacz"
"0";"MAGICZNA DŁOŃ";" Przywoływanie, sztuczka";" 1 akcja";" 9 metrów";" W, S";" 1 minuta";" W wybranym miejscu w zasięgu czaru, pojawia się widmowa dłoń unosząca się w powietrzu. Będzie istniała przez minutę, ale zniknie wcześniej, jeśli odwołasz ją w ramach swojej akcji, znajdzie się dalej niż 9 metrów od ciebie, albo ponownie<br>rzucisz to zaklęcie. <br><br>Możesz przeznaczyć swoją akcję an kontrolowanie dłoni. Możesz używać jej do manipulowania przedmiotem, otwierania niezamkniętych na klucz drzwi lub pojemnika, chowania lub wyjmowania przedmiotu z otwartego pojemnika, albo wylania zawartości fiolki. Za każdym razem, gdy używasz dłoni, możesz przemieścić ją na odległość do 9 metrów.<br><br>Dłoń nie może atakować, uruchamiać magicznych przedmiotów, ani nieść więcej niż 5kg.";"Zaklinacz"
"0";"NAPRAWA";" Przemiany, sztuczka";" 1 minuta";" Dotyk";" W, S, M (dwa magnetyty)";" Natychmiastowy";" Czar naprawia pojedyncze uszkodzenie lub rozdarcie dotkniętego przedmiotu, np.: pęknięte ogniwo łańcucha, złamany na pół klucz, rozdarty płaszcz czy cieknący bukłak. Naprawiasz usterki, nie pozostawiając po nich śladu, o ile żaden z wymiarów uszkodzenia lub rozdarcia nie przekracza 30cm.<br><br>Przy pomocy tego czaru, możesz fizycznie naprawić magiczny przedmiot lub konstrukt, jednak nie przywracasz mu magicznego działania.";"Zaklinacz"
"0";"OGNISTY POCISK";" Wywoływanie, sztuczka";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Ciskasz garścią ognia w istotę lub obiekt w zasięgu czaru. Wykonaj atak dystansowy czarem. Przy trafieniu, cel otrzymuje 1k10 obrażeń od ognia. Łatwopalne rzeczy trafione tym czarem zajmują się ogniem, o ile nie są przez kogoś noszone lub trzymane.<br><br>Obrażenia z tego zaklęcia zwiększają się o 1k10, gdy osiągniesz 5. poziom (do 2k10), 11. poziom (do 3k10) i 17. poziom (do 4k10).";"Zaklinacz"
"0";"OSŁONA PRZED ORĘŻEM";" Odpychanie, sztuczka";" 1 akcja";" Na siebie";" W, S";" 1 runda";" Wyciągasz przed siebie dłoń i kreślisz w powietrzu znak ochronny.<br><br>Do końca swojej następnej tury masz odporność na zadawane bronią obrażenia cięte, kłute i obuchowe.";"Zaklinacz"
"0";"POMNIEJSZA ILUZJA";" Iluzja, sztuczka";" 1 akcja";" 9 metrów";" S, M (trochę zwierzęcego runa)";" 1 minuta";" Tworzysz w zasięgu czaru dźwiękową lub wizualną iluzję. Iluzja kończy się, gdy rozproszysz ją wcześniej w ramach swojej akcji albo ponownie rzucisz to zaklęcie. Dźwięk, który tworzysz, może mieć zakres głośności od szeptu do krzyku. Może to być jakikolwiek dźwięk. Efekt trwa nieprzerwanie, ale możesz także stworzyć oddzielnie dźwięki pojawiające się w różnych momentach trwania czaru.<br><br>Jeśli tworzysz obraz obiektu, to musi on mieścić się w sześcianie o boku 1,5m. Obraz ten nie może emitować dźwięku ani światła, wydzielać zapachu czy tworzyć efektów sensorycznych. Fizyczna interakcja z obrazem zdemaskuje iluzję, gdyż jest ona niematerialna.<br><br>Kiedy jakaś istota poświęci swoją akcję na zbadanie stworzonego dźwięku lub obrazu, może wykryć iluzję po udanym teście na Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Jeżeli ktoś rozpozna iluzję, to staje się ona dla niego ledwie dostrzegalna.";"Zaklinacz"
"0";"PORAŻAJĄCY UŚCISK";" Wywoływanie, sztuczka";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Z twojej dłoni wyskakuje błyskawica porażająca istotę, której uda ci się dotknąć. Wykonaj atak wręcz czarem, przeciwko wybranemu celowi. Jeśli nosi on metalową zbroję, masz ułatwienie w tym teście. Przy trafieniu, cel otrzymuje 1k8 obrażeń od elektryczności i do początku swojej następnej tury nie może wykonać reakcji.<br><br>Obrażenia z tego zaklęcia zwiększają się o 1k8, gdy osiągniesz 5. poziom (do2k8), 11. poziom (do 3k8), 17. poziom (do 4k8).";"Zaklinacz"
"0";"PRAWDZIWE UDERZENIE";" Wieszczenie, sztuczka";" 1 akcja";" 9 metrów";" S";" Koncentracja, do 1 rundy";" Wyciągasz dłoń, wskazując palcem cel w zasięgu czaru. Twoja magia umożliwia ci krótki wgląd w jego obronę. <br><br>W swojej następnej turze masz ułatwienie w pierwszym teście ataku przeciw niemu, zakładając, że w międzyczasie czar nie dobiegł końca.";"Zaklinacz"
"0";"PROMIEŃ MROZU";" Wywoływanie, sztuczka";" 1 akcja";" 18 metrów";" W, S";" Natychmiastowy";" Lodowaty promień biało – błękitnego światła, wystrzeliwuje ku istocie znajdującej się w zasięgu czaru. Wykonaj atak dystansowy czarem.<br><br>Przy trafieniu, cel otrzymuje 1k8 obrażeń od zimna, a jego szybkość zostaje zmniejszona o 3 metry, do rozpoczęcia twojej następnej tury.<br><br>Obrażenia z tego zaklęcia zwiększają się o 1k8, gdy osiągniesz 5. poziom (do 2k8), 11. poziom (do 3k8) i 17. poziom (do 4k8).";""
"0";"PRZESZYWAJĄCY DOTYK";" Nekromancja, sztuczka";" 1 akcja";" 36 metrów";" W, S";" 1 runda";" Na miejscu zajmowanym przez istotę, tworzysz widmową kościaną dłoń. Wykonaj atak dystansowy czarem przeciw tej istocie, aby przeniknąć ją grobowym chłodem. W przypadku trafienia, otrzymuje 1k8 obrażeń nekrotycznych i nie może odzyskać PW, aż do rozpoczęcia twojej następnej tury. Do tego czasu ściska ją widmowa ręka.<br><br>Jeżeli celem zaklęcia jest nieumarły, to po trafieniu, do końca swojej następnej tury ma utrudnienie w testach ataku przeciw tobie.<br><br>Obrażenia z tego zaklęcia zwiększają się o 1k8, gdy osiągniesz 5. poziom (do 2k8), 11. poziom (do 3k8) i 17. poziom (do 4k8).";"Zaklinacz"
