"0";"KUGLARSTWO";" Przemiany, sztuczka";" 1 akcja";" 3 metry";" W, S";" Do 1 godziny";" Wywołujesz jeden z magicznych efektów:<br>1. Sensoryczny, np.: deszcz iskier, podmuch wiatru, muzyka lub dziwaczny zapach.<br>2. Natychmiast gasisz/zapalasz świecę, pochodnię lub małe ognisko.<br>3. Natychmiast oczyszczasz/brudzisz obiekt o objętości do 27 litrów.<br>4. Na godzinę schładzasz, podgrzewasz lub nadajesz smak nieożywionej materii o objętości do 27 litrów.<br>5. Sprawiasz, że na obiekcie lub powierzchni, na godzinę pojawia się określony kolor, znak lub symbol.<br>6. Tworzysz niemagiczną błyskotkę/iluzoryczny obraz, mieszczący się w twojej dłoni, będącą widoczną do twojej następnej tury.<br>Jeśli rzucisz to zaklęcie wiele razy, możesz jednocześnie utrzymać do trzech spośród nienatychmiastowych efektów, a w ramach akcji możesz odwołać pojedynczy efekt.";"Bard"
"0";"MAGICZNA DŁOŃ";" Przywoływanie, sztuczka";" 1 akcja";" 9 metrów";" W, S";" 1 minuta";" W wybranym miejscu w zasięgu czaru, pojawia się widmowa dłoń unosząca się w powietrzu. Będzie istniała przez minutę, ale zniknie wcześniej, jeśli odwołasz ją w ramach swojej akcji, znajdzie się dalej niż 9 metrów od ciebie, albo ponownie<br>rzucisz to zaklęcie. <br><br>Możesz przeznaczyć swoją akcję an kontrolowanie dłoni. Możesz używać jej do manipulowania przedmiotem, otwierania niezamkniętych na klucz drzwi lub pojemnika, chowania lub wyjmowania przedmiotu z otwartego pojemnika, albo wylania zawartości fiolki. Za każdym razem, gdy używasz dłoni, możesz przemieścić ją na odległość do 9 metrów.<br><br>Dłoń nie może atakować, uruchamiać magicznych przedmiotów, ani nieść więcej niż 5kg.";"Bard"
"0";"NAPRAWA";" Przemiany, sztuczka";" 1 minuta";" Dotyk";" W, S, M (dwa magnetyty)";" Natychmiastowy";" Czar naprawia pojedyncze uszkodzenie lub rozdarcie dotkniętego przedmiotu, np.: pęknięte ogniwo łańcucha, złamany na pół klucz, rozdarty płaszcz czy cieknący bukłak. Naprawiasz usterki, nie pozostawiając po nich śladu, o ile żaden z wymiarów uszkodzenia lub rozdarcia nie przekracza 30cm.<br><br>Przy pomocy tego czaru, możesz fizycznie naprawić magiczny przedmiot lub konstrukt, jednak nie przywracasz mu magicznego działania.";"Bard"
"0";"OSŁONA PRZED ORĘŻEM";" Odpychanie, sztuczka";" 1 akcja";" Na siebie";" W, S";" 1 runda";" Wyciągasz przed siebie dłoń i kreślisz w powietrzu znak ochronny.<br><br>Do końca swojej następnej tury masz odporność na zadawane bronią obrażenia cięte, kłute i obuchowe.";"Bard"
"0";"POMNIEJSZA ILUZJA";" Iluzja, sztuczka";" 1 akcja";" 9 metrów";" S, M (trochę zwierzęcego runa)";" 1 minuta";" Tworzysz w zasięgu czaru dźwiękową lub wizualną iluzję. Iluzja kończy się, gdy rozproszysz ją wcześniej w ramach swojej akcji albo ponownie rzucisz to zaklęcie. Dźwięk, który tworzysz, może mieć zakres głośności od szeptu do krzyku. Może to być jakikolwiek dźwięk. Efekt trwa nieprzerwanie, ale możesz także stworzyć oddzielnie dźwięki pojawiające się w różnych momentach trwania czaru.<br><br>Jeśli tworzysz obraz obiektu, to musi on mieścić się w sześcianie o boku 1,5m. Obraz ten nie może emitować dźwięku ani światła, wydzielać zapachu czy tworzyć efektów sensorycznych. Fizyczna interakcja z obrazem zdemaskuje iluzję, gdyż jest ona niematerialna.<br><br>Kiedy jakaś istota poświęci swoją akcję na zbadanie stworzonego dźwięku lub obrazu, może wykryć iluzję po udanym teście na Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Jeżeli ktoś rozpozna iluzję, to staje się ona dla niego ledwie dostrzegalna.";"Bard"
"0";"PRAWDZIWE UDERZENIE";" Wieszczenie, sztuczka";" 1 akcja";" 9 metrów";" S";" Koncentracja, do 1 rundy";" Wyciągasz dłoń, wskazując palcem cel w zasięgu czaru. Twoja magia umożliwia ci krótki wgląd w jego obronę. <br><br>W swojej następnej turze masz ułatwienie w pierwszym teście ataku przeciw niemu, zakładając, że w międzyczasie czar nie dobiegł końca.";"Bard"
"0";"PRZYJAŹŃ";" Uroki, sztuczka";" 1 akcja";" Na siebie";" S, M (trochę makijażu na twarz)";" Koncentracja, do 1 minuty";" Działanie czaru zapewnia ci ułatwienie we wszystkich testach Charyzmy wykonywanych względem wybranej istoty, która nie jest do ciebie wrogo nastawiona. Gdy działanie czaru dobiega końca, zdaje sobie ona sprawę, że wpłynąłeś na nią magiczni, i staje się wroga. Istota agresywna może cię zaatakować. Nieagresywna może poszukiwać innego sposobu na wyrównanie rachunków (według uznania MP), zależnie od rodzaju waszej interakcji.";"Bard"
"0";"ŚWIATŁO";" Wywoływanie, sztuczka";" 1 akcja";" Dotyk";" W, M (świetlik lub fosforyzujący mech)";" 1 godzina";" Dotykasz obiektu, którego żaden z wymiarów nie przekracza 3m. Dopóki czar trwa, obiekt świeci światłem w promieniu kolejnych 6m. Czar dobiega końca, gdy rzucisz go ponownie lub zakończysz go w ramach swojej akcji.<br><br>Jeżeli rzucasz ten czar na przedmiot trzymany lub noszony przez wrogą istotę, to musi ona wykonać udany rzut obronny na Zręczność, by uniknąć efektu.";"Bard"
"0";"TAŃCZĄCE ŚWIATŁA";" Wywoływanie, sztuczka";" 1 akcja";" 36 metrów";" W,S,M (kawałek fosforu, drewna wiązu lub świetlik)";" Koncentracja, do 1 minuty";" Tworzysz w zasięgu czaru do czterech świateł o rozmiarze i wyglądzie pochodni, latarń lub świecących kul, unoszących się w powietrzu przez czas działania czaru. Możesz także z tych czterech świateł złożyć świecącą formę przypominającą Średniego humanoida. Niezależnie od wybranej formy, każde z nich świeci słabym światłem w promieniu 3.<br><br>W ramach akcji dodatkowej w swojej turze, możesz przemieścić światła na odległość do 18m w nowe miejsce w zasięgu czaru. Każde światło musi znajdować się do 6m od innego światła stworzonego tym czarem i gaśnie, gdy wyjdzie poza zasięg czaru.";"Bard"
"0";"WIADOMOŚĆ";" Przemiany, sztuczka";" 1 akcja";" 36 metrów";" W, S, M (kawałek miedzianego drutu)";" 1 runda";" Wskazujesz palcem istotę w zasięgu czaru i szepczesz wiadomość. Tylko adresat słyszy tę wiadomość i może na nią odpowiedzieć szeptem, który usłyszysz tylko ty.<br><br>Możesz rzucić to zaklęcie przez stałe obiekty, jeśli znasz adresata i wiesz, że znajduje się po drugiej stronie przeszkody. Zaklęcie zostaje zablokowane, jeśli na jego drodze znajduje się strefa magicznej ciszy, 30cm kamienia, 2,5cm metalu, cienka warstwa ołowiu lub 90cm drewna. Wiadomość nie musi podążać po prostej, może omijać przeszkody i korzystać z otwartych przejść.";"Bard"
"0";"ZJADLIWE SZYDERSTWO";" Uroki, sztuczka";" 1 akcja";" 18 metrów";" W";" Natychmiastowy";" Wyrzucasz z siebie litanię obelg przeplecionych subtelną magią uroków i wysyłasz ją w stronę istoty, którą widzisz w zasięgu czaru. Jeżeli cel cię słyszy (choć nie musi cię rozumieć), musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia otrzymuje 1k4 obrażeń psychicznych i ma utrudnienie w następnym teście ataku wykonywanym przed końcem swojej następnej tury.<br><br>Obrażenia z tego zaklęcia zwiększają się o 1k4, gdy osiągniesz 5. poziom (do 2k4), 11, poziom (do 3k4) i 17. poziom (do 4k4).";"Bard"
"1";"BLASK FAERIE";" Wywoływanie, 1. krąg";" 1 akcja";" 18 metrów";" W";" Koncentracja, do 1 minuty";" Każdy obiekt w sześcianie o boku 6 metrów w zasięgu czaru, zostaje spowity niebieskim, zielonym lub czerwonym światłem (ty wybierasz kolor).<br><br>Istoty znajdujące się w obszarze działania w chwili rzucania zaklęcia, również zostają podświetlone, jeśli nie zdadzą rzutu obronnego na Zręczność. Przez okres trwania czaru, od tych istot i obiektów emanuje na 3 metry słabe światło.<br><br>Obiekty i istoty znajdujące się pod wpływem zaklęcia, nie czerpią żadnych korzyści ze swojej niewidzialności, a ataki przeciwko nim są ułatwiane z ułatwieniem, jeśli napastnik jest w stanie zobaczyć cel.";"Bard"
