"0";"CIERNIOWY BICZ";" Przemiany, sztuczka";" 1 akcja";" 9 metrów";" W,S,M (łodyga kolczastej rośliny)";" Natychmiastowy";" Tworzysz długi, podobny do cierniowego pnącza bicz, który na twoje polecenie uderza wybraną istotę znajdującą się w zasięgu. Wykonaj przeciw niej test ataku wręcz czarem.Przy trafieniu, zadajesz 1k6 obrażeń kłutych, a jeśli jest to istota Duża lub mniejsza, przyciągasz ją do siebie o maksymalnie 3m.<br><br>Obrażenia z tego zaklęcia zwiększają się o 1k6, gdy osiągniesz 5. poziom (do 2k6), 11. poziom (do 3k6) i 17. poziom (do 4k6).";"Druid"
"0";"DRUIDZKIE SZTUCZKI";" Przemiany, sztuczka";" 1 akcja";" 9 metrów";" W, S";" Natychmiastowy";" Szepcząc do duchów natury, stwarzasz w zasięgu czaru jeden z efektów:<br><br>*Tworzysz mały, nieszkodliwy efekt sensoryczny, który pokazuje, jaka pogoda będzie w tym miejscu przez najbliższe 24h. Może on przyjąć postać złotej kuli symbolizującej czyste niebo, chmury oznaczającej deszcz, spadających płatków śniegu itp. Efekt utrzymuje się przez 1 rundę.<br><br>*Powodujesz natychmiastowe rozkwitnięcie kwiatu, rozwinięcie się liści z pąka lub otwarcie strąka z nasionami. <br><br>*Wywołujesz natychmiastowy, nieszkodliwy efekt sensoryczny, taki jak opadające liście, podmuch wiatru, odgłos niewielkiego zwierzęcia, nikły odór skunksa. Efekt nie może przekroczyć swym rozmiarem sześcianu o boku 1,5m.<br><br>*W jednej chwili gasisz albo zapalasz świecę, pochodnię lub niewielkie ognisko";"Druid"
"0";"NAPRAWA";" Przemiany, sztuczka";" 1 minuta";" Dotyk";" W, S, M (dwa magnetyty)";" Natychmiastowy";" Czar naprawia pojedyncze uszkodzenie lub rozdarcie dotkniętego przedmiotu, np.: pęknięte ogniwo łańcucha, złamany na pół klucz, rozdarty płaszcz czy cieknący bukłak. Naprawiasz usterki, nie pozostawiając po nich śladu, o ile żaden z wymiarów uszkodzenia lub rozdarcia nie przekracza 30cm.<br><br>Przy pomocy tego czaru, możesz fizycznie naprawić magiczny przedmiot lub konstrukt, jednak nie przywracasz mu magicznego działania.";"Druid"
"0";"ODPORNOŚĆ";" Odpychanie, sztuczka";" 1 akcja";" Dotyk";" W, S, M (miniaturowa peleryna)";" Koncentracja, do 1 minuty";" Dotykasz przychylnej istoty.<br><br>Póki zaklęcie trwa, może ona rzucić jeden raz k4 i dodać otrzymany wynik do wybranego rzutu obronnego. Dodatkową kością można rzucić przed rzutem obronnym lub po nim.<br><br>Zaklęcie kończy się po wykorzystaniu premii.";"Druid"
"0";"SHILLELAGH";" Przemiany, sztuczka";" 1 akcja dodatkowa";" Dotyk";" W,S,M (jemioła, liść koniczyny i drąg lub pałka)";" 1 minuta";" Drewno drąga lub pałki napełnia się w twoich rękach mocą natury. Podczas działania czaru, w testach ataku tą bronią i przy zadawaniu nią obrażeń, możesz zamiast Siły użyć swojej cechy bazowej, a kość obrażeń zamieniasz na k8.<br><br>Broń staje się też magiczna, jeśli wcześniej nie była. Czar wygasa, kiedy rzucisz go ponownie, albo gdy wypuścisz zaklętą broń z rąk.";"Druid"
"0";"TRUJĄCY ROZPRYSK";" Przywoływanie, sztuczka";" 1 akcja";" 3 metry";" W, S";" Natychmiastowy";" Wyciągasz dłoń ku istocie, którą widzisz w zasięgu czaru, i pryskasz w nią obłokiem szkodliwego gazu. Musi ona wykonać rzut obronny na Kondycję. W przypadku niepowodzenia otrzymuje 1k12 obrażeń od trucizny.<br><br>Na wyższych kręgach. Obrażenia zwiększają się o 1k12 gdy osiągniesz 5. poziom (do 2k12), 11. poziom (do 3k12) i 17. poziom (do 4k12).";"Druid"
"0";"WSKAZÓWKI";" Wieszczenie, sztuczka";" 1 akcja";" Dotyk";" W, S";" Koncentracja, do 1 minuty";" Dotykasz przychylnej istoty.<br>Przed zakończeniem działania czaru, może ona dodać k4 do wyniku jednego wybranego testu cechy. Może wykonać ten rzut przed testem lub po nim. Kiedy to zrobi, zaklęcie dobiega końca.";"Druid"
"0";"WYWOŁANIE PŁOMIENIA";" Przywoływanie, sztuczka";" 1 akcja";" Na siebie";" W,S";" 10 minut";" W twojej dłoni pojawia się migotliwy płomień. Utrzymuje się tam przez czas trwania czaru, nie parząc cię ani nie uszkadzając twojego wyposażenia. Świeci jasnym światłem w<br>promieniu 3m i słabym w promieniu kolejnych 3m. Znika, kiedy odwołasz go w ramach swojej akcji lub kiedy rzucisz kolejny.<br><br>Możesz zaatakować tym płomieniem, ale spowoduje to koniec zaklęcia. Kiedy rzucisz ten czar, lub w ramach akcji w swojej turze, możesz cisnąć płomieniem w istotę znajdującą się do 9m od ciebie. Wykonaj atak dystansowy czarem. Przy trafieniu, cel otrzymuje 1k8 obrażeń od ognia.<br><br>Obrażenia z tego zaklęcia zwiększają się o 1k8, gdy osiągniesz 5. poziom (do 2k8), 11. poziom (do 3k8), 17. poziom (do 4k8).";"Druid"
"1";"BLASK FAERIE";" Wywoływanie, 1. krąg";" 1 akcja";" 18 metrów";" W";" Koncentracja, do 1 minuty";" Każdy obiekt w sześcianie o boku 6 metrów w zasięgu czaru, zostaje spowity niebieskim, zielonym lub czerwonym światłem (ty wybierasz kolor).<br><br>Istoty znajdujące się w obszarze działania w chwili rzucania zaklęcia, również zostają podświetlone, jeśli nie zdadzą rzutu obronnego na Zręczność. Przez okres trwania czaru, od tych istot i obiektów emanuje na 3 metry słabe światło.<br><br>Obiekty i istoty znajdujące się pod wpływem zaklęcia, nie czerpią żadnych korzyści ze swojej niewidzialności, a ataki przeciwko nim są ułatwiane z ułatwieniem, jeśli napastnik jest w stanie zobaczyć cel.";"Druid"
"1";"CHMURA MGŁY";" Przywoływanie, 1. krąg";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 1 godziny";" Przywołujesz kulistą chmurę mgły o promieniu 6m, której środek znajduje się w zasięgu zaklęcia. Mgła rozprzestrzenia się wokół rogów i załomów, a jej obszar jest pozbawiony widoczności. Chmura utrzymuje się do wygaśnięcia czaru, choć wcześniej może ją też rozwiać wiatr o umiarkowanej lub większej prędkości (co najmniej 15km/h).<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1., zwiększasz promień chmury o 6 metrów.";"Druid"
"1";"DOBRE JAGODY";" Przemiany, 1. krąg";" 1 akcja";" Dotyk";" W,S,M (gałązka jemioły)";" Natychmiastowy";" W twojej dłoni pojawia się do 10 jagód przepełnionych magiczną mocą przez czas trwania zaklęcia. W ramach swojej akcji, istota może zjeść jedną jagodę, co przywróci jej 1 PW i<br>wystarczy za pożywienie na cały dzień.<br><br>Jagody nie zjedzone w ciągu 24h, tracą swoją magiczną moc.";"Druid"
"1";"FALA GROMU";" Wywoływanie, 1. krąg";" 1 akcja";" Na siebie (sześcian o boku 4,5 metra)";" W, S";" Natychmiastowy";" Uwalniasz falę ogłuszającej mocy.<br><br>W przestrzeni o kształcie wychodzącego od ciebie sześcianu o boku 4,5m, wszystkie istoty muszą wykonać rzut obronny na Kondycję.<br><br>W przypadku niepowodzenia, otrzymują po 2k8 obrażeń od dźwięku i zostają odepchnięte o 3m od ciebie. Po udanym rzucie, otrzymują połowę obrażeń i nie zostają odepchnięte.<br><br>Ponadto, niezabezpieczone przedmioty znajdujące się w całości na obszarze działania czaru zostają automatycznie odepchnięte o 3 metry od ciebie, a zaklęcie wywołuje ogłaszający huk słyszalny z odległości 90 metrów.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz obrażenia o 1k8.";"Druid"
"1";"KOJĄCE SŁOWO";" Wywoływanie, 1. krąg";" 1 akcja dodatkowa";" 18 metrów";" W";" Natychmiastowy";" Wybrana istota, którą widzisz w zasięgu czaru, odzyskuje punkty wytrzymałości w liczbie 1k4 + twój modyfikator z cechy bazowej. Czar nie działa na nieumarłych i kostuchy.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy twój krąg powyżej 1. liczba leczonych PW zwiększa się o 1k4.";"Druid"
"1";"LECZENIE RAN";" Wywoływanie, 1. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Istota, której dotykasz, odzyskuje punkty wytrzymałości w liczbie równej 1k8 + twój modyfikator z cechy bazowej. Czar nie działa na nieumarłych i kostuchy.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. przywracasz dodatkowe 1k8 punktów wytrzymałości.";"Druid"
