"0";"KUGLARSTWO";" Przemiany, sztuczka";" 1 akcja";" 3 metry";" W, S";" Do 1 godziny";" Wywołujesz jeden z magicznych efektów:<br>1. Sensoryczny, np.: deszcz iskier, podmuch wiatru, muzyka lub dziwaczny zapach.<br>2. Natychmiast gasisz/zapalasz świecę, pochodnię lub małe ognisko.<br>3. Natychmiast oczyszczasz/brudzisz obiekt o objętości do 27 litrów.<br>4. Na godzinę schładzasz, podgrzewasz lub nadajesz smak nieożywionej materii o objętości do 27 litrów.<br>5. Sprawiasz, że na obiekcie lub powierzchni, na godzinę pojawia się określony kolor, znak lub symbol.<br>6. Tworzysz niemagiczną błyskotkę/iluzoryczny obraz, mieszczący się w twojej dłoni, będącą widoczną do twojej następnej tury.<br>Jeśli rzucisz to zaklęcie wiele razy, możesz jednocześnie utrzymać do trzech spośród nienatychmiastowych efektów, a w ramach akcji możesz odwołać pojedynczy efekt.";"Czarownik"
"0";"MAGICZNA DŁOŃ";" Przywoływanie, sztuczka";" 1 akcja";" 9 metrów";" W, S";" 1 minuta";" W wybranym miejscu w zasięgu czaru, pojawia się widmowa dłoń unosząca się w powietrzu. Będzie istniała przez minutę, ale zniknie wcześniej, jeśli odwołasz ją w ramach swojej akcji, znajdzie się dalej niż 9 metrów od ciebie, albo ponownie<br>rzucisz to zaklęcie. <br><br>Możesz przeznaczyć swoją akcję an kontrolowanie dłoni. Możesz używać jej do manipulowania przedmiotem, otwierania niezamkniętych na klucz drzwi lub pojemnika, chowania lub wyjmowania przedmiotu z otwartego pojemnika, albo wylania zawartości fiolki. Za każdym razem, gdy używasz dłoni, możesz przemieścić ją na odległość do 9 metrów.<br><br>Dłoń nie może atakować, uruchamiać magicznych przedmiotów, ani nieść więcej niż 5kg.";"Czarownik"
"0";"NIEZIEMSKIE UDERZENIE";" Wywoływanie, sztuczka";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Promień trzaskającej energii strzela w kierunku stworzenia znajdującego się w zasięgu czaru. Wykonujesz atak dystansowy czarem przeciwko wybranemu celowi, który przy trafieniu otrzymuje 1k10 obrażeń od mocy.<br><br>Na wyższych kręgach. Zaklęcie tworzy więcej promieni: dwa promienie na 5. poziomie, trzy promienie na 11. poziomie i cztery promienie na 17. poziomie. Możesz atakować nimi ten sam cel lub różne cele. Dla każdego promienia wykonujesz osobny test ataku.";"Czarownik"
"0";"OSŁONA PRZED ORĘŻEM";" Odpychanie, sztuczka";" 1 akcja";" Na siebie";" W, S";" 1 runda";" Wyciągasz przed siebie dłoń i kreślisz w powietrzu znak ochronny.<br><br>Do końca swojej następnej tury masz odporność na zadawane bronią obrażenia cięte, kłute i obuchowe.";"Czarownik"
"0";"POMNIEJSZA ILUZJA";" Iluzja, sztuczka";" 1 akcja";" 9 metrów";" S, M (trochę zwierzęcego runa)";" 1 minuta";" Tworzysz w zasięgu czaru dźwiękową lub wizualną iluzję. Iluzja kończy się, gdy rozproszysz ją wcześniej w ramach swojej akcji albo ponownie rzucisz to zaklęcie. Dźwięk, który tworzysz, może mieć zakres głośności od szeptu do krzyku. Może to być jakikolwiek dźwięk. Efekt trwa nieprzerwanie, ale możesz także stworzyć oddzielnie dźwięki pojawiające się w różnych momentach trwania czaru.<br><br>Jeśli tworzysz obraz obiektu, to musi on mieścić się w sześcianie o boku 1,5m. Obraz ten nie może emitować dźwięku ani światła, wydzielać zapachu czy tworzyć efektów sensorycznych. Fizyczna interakcja z obrazem zdemaskuje iluzję, gdyż jest ona niematerialna.<br><br>Kiedy jakaś istota poświęci swoją akcję na zbadanie stworzonego dźwięku lub obrazu, może wykryć iluzję po udanym teście na Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Jeżeli ktoś rozpozna iluzję, to staje się ona dla niego ledwie dostrzegalna.";"Czarownik"
"0";"PRAWDZIWE UDERZENIE";" Wieszczenie, sztuczka";" 1 akcja";" 9 metrów";" S";" Koncentracja, do 1 rundy";" Wyciągasz dłoń, wskazując palcem cel w zasięgu czaru. Twoja magia umożliwia ci krótki wgląd w jego obronę. <br><br>W swojej następnej turze masz ułatwienie w pierwszym teście ataku przeciw niemu, zakładając, że w międzyczasie czar nie dobiegł końca.";"Czarownik"
"0";"PRZESZYWAJĄCY DOTYK";" Nekromancja, sztuczka";" 1 akcja";" 36 metrów";" W, S";" 1 runda";" Na miejscu zajmowanym przez istotę, tworzysz widmową kościaną dłoń. Wykonaj atak dystansowy czarem przeciw tej istocie, aby przeniknąć ją grobowym chłodem. W przypadku trafienia, otrzymuje 1k8 obrażeń nekrotycznych i nie może odzyskać PW, aż do rozpoczęcia twojej następnej tury. Do tego czasu ściska ją widmowa ręka.<br><br>Jeżeli celem zaklęcia jest nieumarły, to po trafieniu, do końca swojej następnej tury ma utrudnienie w testach ataku przeciw tobie.<br><br>Obrażenia z tego zaklęcia zwiększają się o 1k8, gdy osiągniesz 5. poziom (do 2k8), 11. poziom (do 3k8) i 17. poziom (do 4k8).";"Czarownik"
"0";"PRZYJAŹŃ";" Uroki, sztuczka";" 1 akcja";" Na siebie";" S, M (trochę makijażu na twarz)";" Koncentracja, do 1 minuty";" Działanie czaru zapewnia ci ułatwienie we wszystkich testach Charyzmy wykonywanych względem wybranej istoty, która nie jest do ciebie wrogo nastawiona. Gdy działanie czaru dobiega końca, zdaje sobie ona sprawę, że wpłynąłeś na nią magiczni, i staje się wroga. Istota agresywna może cię zaatakować. Nieagresywna może poszukiwać innego sposobu na wyrównanie rachunków (według uznania MP), zależnie od rodzaju waszej interakcji.";"Czarownik"
"0";"TRUJĄCY ROZPRYSK";" Przywoływanie, sztuczka";" 1 akcja";" 3 metry";" W, S";" Natychmiastowy";" Wyciągasz dłoń ku istocie, którą widzisz w zasięgu czaru, i pryskasz w nią obłokiem szkodliwego gazu. Musi ona wykonać rzut obronny na Kondycję. W przypadku niepowodzenia otrzymuje 1k12 obrażeń od trucizny.<br><br>Na wyższych kręgach. Obrażenia zwiększają się o 1k12 gdy osiągniesz 5. poziom (do 2k12), 11. poziom (do 3k12) i 17. poziom (do 4k12).";"Czarownik"
"1";"BŁYSKAWICZNY ODWRÓT";" Przemiany, 1. krąg";" 1 akcja dodatkowa";" Na siebie";" W, S";" Koncentracja, do 10 minut";" Ten czar pozwala ci niewiarygodnie szybko się przemieszczać. Gdy go rzucisz, potem w ramach każdej swojej akcji dodatkowej w czasie jego trwania, możesz wykonać Sprint.";"Czarownik"
"1";"ILUZORYCZNY MANUSKRYPT";" Iluzje, 1. krąg (rytuał)";" 1 minuta";" Dotyk";" S, M (inkaust na bazie ołowiu o wartości co najmniej 10sz, zużywany przez zaklęcie)";" 10 dni";" Pisząc na pergaminie, papierze lub innym nadającym się do tego materiale, nasączasz go silną iluzją trwającą 10 dni. Dla ciebie i stworzeń wybranych podczas rzucania czaru,<br>tekst będzie wyglądał normalnie - napisany twoją ręką i zawierający zamierzoną wiadomość. W oczach innych osób będzie kompletnie nieczytelny, jakby został zapisany w niezrozumiałym dla nich, nieznanym lub magicznym języku. Jeśli wolisz, możesz zdecydować, że nieupoważnione osoby<br>będą widzieć czytelny, ale całkowicie odmienny tekst, napisany cudzą ręką, w innym, znanym ci języku.<br><br>W przypadku rozproszenia czaru, znika zarówno iluzja, jak i oryginalny tekst.<br><br>Istota ze zdolnością prawdziwego widzenia jest w stanie odczytać ukrytą wiadomość.";"Czarownik"
"1";"NIEWIDOCZNY SŁUGA";" Przywoływanie, 1. krąg (rytuał)";" 1 akcja";" 18 metrów";" W, S, M (kawałek sznurka i drewna)";" 1 godzina";" Przy pomocy tego zaklęcia tworzysz niewidzialną, bezmyślną i bezkształtną siłę o rozmiarze Średnim, która wykonuje dla ciebie proste zadania. Sługa zostaje przywołany w wolnym miejscu w zasięgu czaru. Ma KP 10, 1 PW, Siłę 2 i nie może atakować. jeśli jego wytrzymałość spadnie do 0, zaklęcie się kończy.<br><br>Raz na turę w ramach swojej akcji dodatkowej możesz telepatycznie rozkazać słudze przemieścić się na odległość do 4,5m i wykonać działanie na określonym obiekcie. Sługa potrafi wykonać proste czynności, jakie mogłyby być zadaniami ludzkiego służącego, np. przyniesie przedmiot, posprząta, dokona drobnych napraw, poskłada ubrania, rozpali ogień, poda posiłek lub naleje wina. Sługa wypełnia polecenie najlepiej jak potrafi, po czym czeka na następne.<br><br>Jeśli rozkażesz słudze wykonać zadanie, które wymagałoby od niego oddalenie się na więcej niż 18m od ciebie, to zaklęcie wygaśnie.";"Czarownik"
"1";"OCHRONA PRZED DOBREM I ZŁEM";" Odpychanie, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (woda święcona albo sproszkowane srebro i żelazo, zużywane przez zaklęcie)";" Koncentracja, do 10 minut";" Podczas trwania czaru jedna przychylna istota jest chroniona przed określonymi rodzajami stworzeń: czartami, fey, niebianami, nieumarłymi, wynaturzeniami i żywiołakami.<br><br>Ochrona zapewnia kilka korzyści. Istoty wymienionych typów mają utrudnienie w testach ataku przeciwko celowi zaklęcia. Jest on również niepodatny na zauroczenie, przerażenie lub opętanie przez te istoty. Jeśli podczas rzucania czaru był zauroczony, przerażony lub opętany przez jedną z takich istot, to ma ułatwienie w kolejnych rzutach obronnych przeciwko odpowiedniemu efektowi.";"Czarownik"
"1";"PIEKIELNA REPRYMENDA";" Wywoływanie, 1. krąg";" 1 reakcja podejmowana w odpowiedzi na obrażenia otrzymane od istoty widzianej w obrębie 18 metrów";" 18 metrów";" W, S";" Natychmiastowy";" Pokazujesz palcem istotę, która cię zraniła i natychmiast spowijają ją ognie piekielne. Musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia otrzymuje 2k10 obrażeń do ognia. Udany rzut zmniejsza obrażenia o połowę.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz zadawane obrażenia o 1k10.";"Czarownik"
"1";"RAMIONA HADARA";" Przywoływanie, 1. krąg";" 1 akcja";" Na siebie (w promieniu 3 metrów)";" W, S";" Natychmiastowy";" Przyzywasz moc Hadara, Mrocznego Głodu. Macki ciemnej energii wyrastają z twojego ciała i uderzają wszystkich w obrębie 3m. Każde stworzenie w ich zasięgu musi wykonać rzut obronny na Siłę. W przypadku niepowodzenia otrzymuje 2k6 obrażeń nekrotycznych i do swojej następnej tury nie może używać reakcji. Przy udanym rzucie otrzymuje połowę obrażeń i opiera się dodatkowemu efektowi.";"Czarownik"
