"1";"OCHRONA PRZED DOBREM I ZŁEM (Gorliwości)";" Odpychanie, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (woda święcona albo sproszkowane srebro i żelazo, zużywane przez zaklęcie)";" Koncentracja, do 10 minut";" Podczas trwania czaru jedna przychylna istota jest chroniona przed określonymi rodzajami stworzeń: czartami, fey, niebianami, nieumarłymi, wynaturzeniami i żywiołakami.<br><br>Ochrona zapewnia kilka korzyści. Istoty wymienionych typów mają utrudnienie w testach ataku przeciwko celowi zaklęcia. Jest on również niepodatny na zauroczenie, przerażenie lub opętanie przez te istoty. Jeśli podczas rzucania czaru był zauroczony, przerażony lub opętany przez jedną z takich istot, to ma ułatwienie w kolejnych rzutach obronnych przeciwko odpowiedniemu efektowi.";"Paladyn"
"1";"SANKTUARIUM (Gorliwości)";" Odpychanie, 1 krąg";" 1 akcja dodatkowa";" 9 metrów";" W, S, M (małe srebrne lusterko)";" 1 minuta";" Osłaniasz przed atakiem istotę znajdującą się w zasięgu. Do końca trwania czaru każde stworzenie chcące ją zaatakować lub rzucić na nią wyrządzający krzywdę czar, musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia musi wybrać inny cel, albo utracić ten atak lub czar. Sanktuarium nie chroni przed efektami obszarowymi, takimi jak eksplozja kuli ognia.<br><br>Czar kończy się, kiedy ochraniająca istota wykona atak, rzuci zaklęcie obejmujące działaniem przeciwnika lub zada obrażenia innemu stworzeniu.";"Paladyn"
"2";"MNIEJSZE PRZWRÓCENIE (Gorliwości)";" Odpychanie, 2. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Dotykasz stworzenia i uwalniasz je od jednej dolegającej mu choroby bądź kończysz jeden ze stanów, w którym się znajduje - głuchoty, oślepienia, paraliżu albo zatrucia.";"Paladyn"
"2";"STREFA PRAWDY (Gorliwości)";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S";" 10 minut";" Tworzysz magiczną strefę chroniącą przed fałszem na obszarze w kształcie sfery o promieniu 4,5 metra, z punktem wyjścia wskazanym w zasięgu czaru. Do końca działania zaklęcia, stworzenie wchodzące w jego obszar po raz pierwszy w swojej turze lub rozpoczynające w nim swoją turę, musi wykonać rzut obronny na Charyzmę. W przypadku niepowodzenia nie może umyślnie skłamać, póki pozostaje w obszarze działania zaklęcia. Zdajesz sobie sprawę, czy stworzenie zdało ten test. czy nie. <br><br>Objęta czarem istota jest świadoma działania tego zaklęcia i może unikać odpowiedzi na pytania, na które normalnie odpowiedziałaby kłamstwem. Może też udzielać wymijających odpowiedzi, jeśli mieszczą się w granicach prawdy.";"Paladyn"
"3";"PROMIEŃ NADZIEI (Gorliwości)";" Odpychanie, 3. krąg";" 1 akcja";" 9 metrów";" W, S";" Koncentracja, do 1 minuty";" Czar napełnia otoczenie nadzieją i żywotnością. Wybierz dowolną liczbę istot znajdujących się w zasięgu. W trakcie działania czaru mają ułatwienie w rzutach obronnych na Mądrość i w rzutach obronnych przeciw śmierci oraz odzyskują maksymalną możliwą liczbę PW zapewniają przez jakiekolwiek leczenie.";"Paladyn"
"3";"ROZPROSZENIE MAGII (Gorliwości)";" Odpychanie, 3. krąg";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Wybierz jedną istotę, obiekt lub magiczny efekt w zasięgu czaru. Każde zaklęcie 3. lub niższego kręgu wpływające na nie, dobiega końca. Dla każdego zaklęcia z kręgu 4. lub wyższego, działającego na wybrany cel, wykonaj test swojej cechy bazowej o ST w wysokości 10 + krąg czaru. Po udanym rzucie, to zaklęcie zostaje rozproszone.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, automatycznie rozpraszasz działające na wybrany cel zaklęcia z kręgu równego, lub mniejszego niż ten, z którego rzucasz<br>rozproszenie magii.";"Paladyn"
"4";"STRAŻNIK WIARY (Gorliwości)";" Przywoływanie, 4. krąg";" 1 akcja";" 9 metrów";" W";" 8 godzin";" W wybranym wolnym miejscu, które widzisz w zasięgu, pojawia się Duży widmowy strażnik, unoszący się w powietrzu przez czas trwania czaru i zajmujący to miejsce. Jego postać jest niewyraźna, poza błyszczącym mieczem i tarczą noszącą symbol tego bóstwa.<br><br>Każda wroga istota, która znajdzie się w obrębie 3 metrów od strażnika po raz pierwszy w swojej turze, musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 20 obrażeń od światłości. Udany rzut zmniejsza obrażenia o połowę.<br><br>Strażnik znika po zadaniu łącznie 60 punktów obrażeń.";"Paladyn"
"4";"SWOBODA RUCHU (Gorliwości)";" Odpychanie, 4. krąg";" 1 akcja";" Dotyk";" W, S, M (rzemień zawiązany wokół ramienia lub podobnej kończyny)";" 1 godzina";" Dotykasz przychylnej ci istoty. Przez czas trwania czaru na jej poruszanie się nie wpływa trudny teren, a zaklęcia i magiczne efekty nie mogą zredukować jej szybkości ani spowodować paraliżu lub unieruchomienia. <br><br>Istota będąca pod wpływem tego zaklęcia, może również zużyć 1.5 metra szybkości, aby automatycznie oswobodzić się z niemagicznych więzów, takich jak kajdany albo bycie pochwyconą.<br><br>Ponadto przebywanie pod wodą nie powoduje u niej kar do ruchu i ataków";"Paladyn"
"5";"KONTAKT Z BÓSTWEM (Gorliwości)";" Wieszczenie, 5. krąg (rytuał)";" 1 minuta";" Na siebie";" W, S, M (kadzidło i fiolka święconej lub przeklętej wody)";" 1 minuta";" Zwracasz się do swego bóstwa lub patrona i zadajesz maksymalnie trzy pytania, na które można odpowiedzieć twierdząco 1ub przecząco. Musisz zdążyć je zadać w czasie trwania czaru. Na każde otrzymasz prawdziwą odpowiedź. <br><br>Boskie byty nie zawsze są wszechwiedzące. Jeśli twoje pytanie wykracza poza wiedzę bóstwa, możesz otrzymać odpowiedź ,,niejasne. Gdyby odpowiedź jednym słowem mogła być myląca lub sprzeczna z interesami bóstwa, MP może zamiast tego odpowiedzieć krótkim zdaniem. <br><br>Jeżeli przed zakończeniem długiego odpoczynku rzucisz to zaklęcie więcej niż raz, za każdym kolejnym razem istnieje kumulatywne 25% ryzyka, że nie otrzymasz odpowiedzi. MP wykonuje ten rzut w tajemnicy.";"Paladyn"
"5";"SŁUP OGNIA (Gorliwości)";" Wywoływanie, 5. krąg";" 1 akcja";" 18 metrów";" W, S, M (szczypta siarki)";" Natychmiastowy";" We wskazane przez ciebie miejsce z rykiem uderza z nieba pionowa kolumna boskiego ognia. Każde stworzenie znajdujące się na obszarze w kształcie walca o promieniu 3 metrów i wysokości 12 metrów, z punktem wyjścia we wskazanym miejscu, musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia. otrzymanie 4k6 obrażeń od ognia i 4k6 obrażeń od światłości. Udany rzut zmniejsza obrażenia o połowę.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 6, kręgu, za każdy krąg powyżej 5. zwiększasz obrażenia od ognia albo światłości (wedle twojego wyboru) o 1k6.";"Paladyn"
"1";"PĘTAJĄCE UDERZENIE (Pradawnych)";" Przywoływanie, 1. krąg";" 1 akcja dodatkowa";" Na siebie";" W";" Koncentracja, do 1 minuty";" Gdy następnym razem trafisz przeciwnika w ataku bronią, podczas działania czaru, w miejscu uderzenia pojawia się kłębowisko ciernistych pnączy, a przeciwnik musi wykonać rzut obronny na Siłę. Stworzenia Duże i większe, mają ułatwienie w tym rzucie. W przypadku niepowodzenia, cel zostaje unieruchomiony na czas działania czaru. Udany rzut obronny, powoduje uschnięcie i padnięcie pnączy.<br><br>Unieruchomione tym zaklęciem stworzenie, na początku każdej swojej tury otrzymuje 1k6 obrażeń kłutych. Cel zaklęcia lub istota, która jest w stanie go dotknąć, może wykorzystać swoją akcję i wykonać test Siły o ST rzutu obronnego przeciw twoim czarom, by usunąć pnącza. Udany rzut oznacza, że cel zaklęcia zostaje uwolniony.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1., zwiększasz zadawane obrażenia o 1k6.";"Paladyn"
"1";"ROZMAWIANIE ZE ZWIERZĘTAMI (Pradawnych)";" Wieszczenie, 1. krąg (rytuał)";" 1 akcja";" Na siebie";" W, S";" Do 10 minut";" Na czas trwania czaru, zyskujesz zdolność rozumienia bestii i słownej komunikacji z nimi. Wiedza i świadomość wielu zwierząt jest ograniczona ich poziomem Inteligencji, ale w najgorszym przypadku, możesz od nich zdobyć informacje o pobliskich miejscach i potworach, włączając informacje o tym, co zwierzę postrzega obecnie lub czego doświadczyło poprzedniego dnia.<br><br>Za zgodą MP możesz nakłonić zwierzę do wyświadczenia ci niewielkiej przysługi.";"Paladyn"
"2";"KROK PRZEZ MGŁĘ (Pradawnych)";" Przywoływanie, 2. krąg";" 1 akcja dodatkowa";" Na siebie";" W";" Natychmiastowy";" Otaczasz się na moment srebrzystą mgłą i teleportujesz się na odległość 9m w wolne miejsce, które widzisz.";"Paladyn"
"2";"KSIĘŻYCOWY PROMIEŃ (Pradawnych)";" Wywoływanie, 2. krąg";" 1 akcja";" 36 metrów";" W, S, M (nasiona rośliny miesięcznikowatej i kawałek skalenia tęczowego)";" Koncentracja, do 1 minuty";" Sprowadzasz na ziemię snop srebrzystego światła, który o kształcie walca o promieniu 1,5 metra i wysokości 12 metrów, wychodzącego z punktu w zasięgu czaru. Przez cały czas trwania zaklęcia, wspomniany walec wypełniony jest słabym światłem. Gdy jakieś stworzenie wejdzie jego obszar pierwszy raz w swojej turze albo rozpocznie w nim swoją turę, zostaje spowite widmowymi płomieniami, powodującymi przeszywający ból i musi wykonać rzut obronny na Kondycję. W przypadku niepowodzenia, otrzymuje 2k10 obrażeń od światłości. Udany rzut zmniejsza obrażenia o połowę. Zmiennokształtni wykonują rzut obronny z utrudnieniem, a gdy im się on nie powiedzie, zostaną przywróceni do swojej naturalnej postaci i nie mogą przyjąć innej, dopóki nie opuszczą obszaru magicznego światła, Po rzuceniu tego czaru, w każdej swojej turze, możesz w ramach swojej akcji przemieścić snop światła do 18 metrów w dowolną stronę... <br>Podręcznik gracza str.230";"Paladyn"
