"1";"ALARM";"Odpychanie, 1. krąg (rytuał) ";"1 minuta ";" 9 metrów";" W,S,M (mały dzwoneczek i kawałek cienkiego, srebrnego drutu)";" 8 godzin";" Nastawiasz alarm przeciw intruzom. Wybierz znajdujące się w zasięgu drzwi, okno lub obszar nie większy niż 6-metrowy sześcian. Przez cały czas trwania, czar będzie cię ostrzegać, kiedy Mała lub większa istota dotknie strzeżonego obszaru, lub do niego wejdzie. Rzucając czar, możesz określić istoty, które nie są intruzami. Wtedy decydujesz również, czy alarm jest dźwiękowy, czy ostrzega cię tylko mentalnie.<br><br>Alarm mentalny wywoła wrażenie dźwięku w twojej głowie, o ile pozostaniesz w obrębie 1,5 km od strzeżonego obszaru. Obudzi cię, jeśli będziesz spać.<br><br>Alarm dźwiękowy, przez 10s wytwarza dźwięk dzwonka rozchodzący się na odległość 18m.";"Łowca"
"1";"CHMURA MGŁY";" Przywoływanie, 1. krąg";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 1 godziny";" Przywołujesz kulistą chmurę mgły o promieniu 6m, której środek znajduje się w zasięgu zaklęcia. Mgła rozprzestrzenia się wokół rogów i załomów, a jej obszar jest pozbawiony widoczności. Chmura utrzymuje się do wygaśnięcia czaru, choć wcześniej może ją też rozwiać wiatr o umiarkowanej lub większej prędkości (co najmniej 15km/h).<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1., zwiększasz promień chmury o 6 metrów.";"Łowca"
"1";"DOBRE JAGODY";" Przemiany, 1. krąg";" 1 akcja";" Dotyk";" W,S,M (gałązka jemioły)";" Natychmiastowy";" W twojej dłoni pojawia się do 10 jagód przepełnionych magiczną mocą przez czas trwania zaklęcia. W ramach swojej akcji, istota może zjeść jedną jagodę, co przywróci jej 1 PW i<br>wystarczy za pożywienie na cały dzień.<br><br>Jagody nie zjedzone w ciągu 24h, tracą swoją magiczną moc.";"Łowca"
"1";"GRAD CIERNI";" Przywoływanie, 1. krąg";" 1 akcja dodatkowa";" Na siebie";" W";" Koncentracja, do 1 minuty";" Przy twoim następnym trafieniu bronią dystansową, w trakcie trwania zaklęcia, z twojego pocisku lub rzuconej broni wylatuje deszcz kolców. Atak ma swój normalny efekt, a dodatkowo jego cel i wszystkie istoty w obrębie 1,5m od niego, muszą wykonać rzut obronny na Zręczność. W przypadku  niepowodzenia, otrzymują po 1k10 obrażeń kłutych. Udany rzut zmniejsza obrażenia o połowę.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1., zwiększasz obrażenia o 1k10 (maksymalnie 6k10).";"Łowca"
"1";"LECZENIE RAN";" Wywoływanie, 1. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Istota, której dotykasz, odzyskuje punkty wytrzymałości w liczbie równej 1k8 + twój modyfikator z cechy bazowej. Czar nie działa na nieumarłych i kostuchy.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. przywracasz dodatkowe 1k8 punktów wytrzymałości.";"Łowca"
"1";"PĘTAJĄCE UDERZENIE";" Przywoływanie, 1. krąg";" 1 akcja dodatkowa";" Na siebie";" W";" Koncentracja, do 1 minuty";" Gdy następnym razem trafisz przeciwnika w ataku bronią, podczas działania czaru, w miejscu uderzenia pojawia się kłębowisko ciernistych pnączy, a przeciwnik musi wykonać rzut obronny na Siłę. Stworzenia Duże i większe, mają ułatwienie w tym rzucie. W przypadku niepowodzenia, cel zostaje unieruchomiony na czas działania czaru. Udany rzut obronny, powoduje uschnięcie i padnięcie pnączy.<br><br>Unieruchomione tym zaklęciem stworzenie, na początku każdej swojej tury otrzymuje 1k6 obrażeń kłutych. Cel zaklęcia lub istota, która jest w stanie go dotknąć, może wykorzystać swoją akcję i wykonać test Siły o ST rzutu obronnego przeciw twoim czarom, by usunąć pnącza. Udany rzut oznacza, że cel zaklęcia zostaje uwolniony.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1., zwiększasz zadawane obrażenia o 1k6.";"Łowca"
"1";"PRZYJACIEL ZWIERZĄT";" Uroki, 1. krąg";" 1 akcja";" 9 metrów";" W, S, M (odrobina jedzenia)";" 2 godziny";" Przy pomocy tego czaru możesz przekonać zwierzę, że nie stanowisz dla niego zagrożenia. Wybierz bestię, którą widzisz w zasięgu czaru, i która widzi i słyszy ciebie. Jeśli jej Inteligencja wynosi 4 lub więcej, zaklęcie się nie udaje. W przeciwnym wypadku, zwierzę musi wykonać udany rzut obronny na Mądrość, albo zostanie przez ciebie zauroczone na czas trwania czaru. Jeżeli ty lub ktoś z twoich sojuszników skrzywdzi to zwierzę, czar się skończy.<br><br>Na wyższych kręgach. Jeśli rzucasz tej czar, wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. możesz objąć czarem dodatkowe zwierzę. ";"Łowca"
"1";"ROZMAWIANIE ZE ZWIERZĘTAMI";" Wieszczenie, 1. krąg (rytuał)";" 1 akcja";" Na siebie";" W, S";" Do 10 minut";" Na czas trwania czaru, zyskujesz zdolność rozumienia bestii i słownej komunikacji z nimi. Wiedza i świadomość wielu zwierząt jest ograniczona ich poziomem Inteligencji, ale w najgorszym przypadku, możesz od nich zdobyć informacje o pobliskich miejscach i potworach, włączając informacje o tym, co zwierzę postrzega obecnie lub czego doświadczyło poprzedniego dnia.<br><br>Za zgodą MP możesz nakłonić zwierzę do wyświadczenia ci niewielkiej przysługi.";"Łowca"
"1";"SKOK";" Przemiany, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (tylna noga pasikonika)";" 1 minuta";" Dotykasz wybranej istoty. Odległość jej skoku zostaje potrojona na czas działania czaru.";"Łowca"
"1";"SZYBKONOGI";" Przemiany, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (szczypta pyłu)";" 1 godzina";" Dotykasz wybranego stworzenia. Jego szybkość zwiększa się o 3 metry do czasu zakończenia czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 2. kręgu, za każdy dodatkowy krąg możesz objąć czarem jedną dodatkową istotę.";"Łowca"
"1";"WYKRYCIE MAGII";" Wieszczenie, 1. krąg rytuał";" 1 akcja";" Na siebie";" W, S, M";" Koncentracja, do 10 min";" Podczas trwania czaru, wyczuwasz magię w obrębie 9m od siebie. Gdy wykryjesz w ten sposób obecność magii w stworzeniu lub obiekcie, możesz wykorzystać swoją akcję, by zobaczyć jego nikłą aurę i dowiedzieć się, z jakiej szkoły pochodzi ta magia (jeśli przynależy do którejś ze szkół). <br><br>Wykrycie magii przenika przez większość barier, ale jest blokowane przez kamień o grubości 30 cm, metal o grubości 2,5cm, drewno lub ziemię o grubości 90 cm lub cienką warstwę ołowiu.";"Łowca"
